Code,Year,Name,Add_1,Add_2,Kind,Staple_food,Dong_name,Number
3150000,2015,어다리횟집 발산점,"서울특별시 강서구 강서로54길 14, 3층 (등촌동, 3동 윤강빌딩)",서울특별시 강서구 등촌동  673번지 3호  윤강빌딩 (지상 3층),일식,모듬회,등촌제3동,236640015
3150000,2013,주)캘리스코사보텐롯데몰김포공항점,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층),일식,돈까스,방화제2동,267197323
3150000,2014,하늘찬,"서울특별시 강서구 하늘길 38, 3층 (방화동, 2동 김포공항 국제선청사 동관)",서울특별시 강서구 방화동  886번지 0호  김포공항 국제선청사 (지상 3층) 동관,한식,갈비찜,방화제2동,220648080
3150000,2013,코코이찌방야 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층),일식,카레,방화제2동,261165602
3150000,2014,페스티벌 푸드코트,"서울특별시 강서구 하늘길 38-0, 3층 (방화동, 김포공항국제선청사)",서울특별시 강서구 방화동  886번지 0호  김포공항국제선청사 3층,기타,김치찌개,방화제2동,220643333
3150000,2015,프리가(FRIGGA) 프리미엄 김포점,"서울특별시 강서구 하늘길 38-0, 5층 (방화동, 2동, 롯데백화점 김포공항점)",서울특별시 강서구 방화동  886번지 0호  롯데백화점 김포공항점 5층,뷔페식,뷔페,방화제2동,226667994
3150000,2004,신고집해물찜,"서울특별시 강서구 강서로 188, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동  1052번지 0호  외 1필지 (지상 1층),한식,해물찜,우장산동,226683359
3150000,2013,명동가츠라,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층),일식,우동,방화제2동,02  61165539
3150000,2011,자연과함께한칼국수,"서울특별시 강서구 강서로34길 18, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동  1062번지 4호  (지상 1층),한식,칼국수,우장산동,226927862
3150000,2013,주식회사 딘타이펑코리아,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층),중국식,？섶,방화제2동,261165537
